cloud_provider,cidr_block,ip_address,ip_address_mask,ip_address_cnt,region
CloudFlare,103.21.244.0/22,103.21.244.0,22,1024,No region
CloudFlare,103.22.200.0/22,103.22.200.0,22,1024,No region
CloudFlare,103.31.4.0/22,103.31.4.0,22,1024,No region
CloudFlare,104.16.0.0/13,104.16.0.0,13,524288,No region
CloudFlare,104.24.0.0/14,104.24.0.0,14,262144,No region
CloudFlare,108.162.192.0/18,108.162.192.0,18,16384,No region
CloudFlare,131.0.72.0/22,131.0.72.0,22,1024,No region
CloudFlare,141.101.64.0/18,141.101.64.0,18,16384,No region
CloudFlare,162.158.0.0/15,162.158.0.0,15,131072,No region
CloudFlare,172.64.0.0/13,172.64.0.0,13,524288,No region
CloudFlare,188.114.96.0/20,188.114.96.0,20,4096,No region
CloudFlare,190.93.240.0/20,190.93.240.0,20,4096,No region
CloudFlare,197.234.240.0/22,197.234.240.0,22,1024,No region
CloudFlare,198.41.128.0/17,198.41.128.0,17,32768,No region
