cloud_provider,cidr_block,ip_address,ip_address_mask,ip_address_cnt,region
Oracle,129.145.16.0/21,129.145.16.0,21,2048,us-ashburn-1
Oracle,129.145.74.0/23,129.145.74.0,23,512,us-ashburn-1
Oracle,129.145.76.0/22,129.145.76.0,22,1024,us-ashburn-1
Oracle,129.146.0.0/21,129.146.0.0,21,2048,us-phoenix-1
Oracle,129.146.12.128/25,129.146.12.128,25,128,us-phoenix-1
Oracle,129.146.128.0/17,129.146.128.0,17,32768,us-phoenix-1
Oracle,129.146.13.128/25,129.146.13.128,25,128,us-phoenix-1
Oracle,129.146.14.128/25,129.146.14.128,25,128,us-phoenix-1
Oracle,129.146.16.0/20,129.146.16.0,20,4096,us-phoenix-1
Oracle,129.146.32.0/19,129.146.32.0,19,8192,us-phoenix-1
Oracle,129.146.64.0/18,129.146.64.0,18,16384,us-phoenix-1
Oracle,129.146.8.0/22,129.146.8.0,22,1024,us-phoenix-1
Oracle,129.148.0.0/21,129.148.0.0,21,2048,ap-sydney-1
Oracle,129.148.12.0/22,129.148.12.0,22,1024,sa-saopaulo-1
Oracle,129.148.128.0/23,129.148.128.0,23,512,ap-hyderabad-1
Oracle,129.148.132.0/22,129.148.132.0,22,1024,ap-hyderabad-1
Oracle,129.148.144.0/23,129.148.144.0,23,512,ap-chuncheon-1
Oracle,129.148.148.0/25,129.148.148.0,25,128,ap-chuncheon-1
Oracle,129.148.148.192/26,129.148.148.192,26,64,ap-chuncheon-1
Oracle,129.148.150.0/23,129.148.150.0,23,512,ap-chuncheon-1
Oracle,129.148.152.0/23,129.148.152.0,23,512,sa-santiago-1
Oracle,129.148.156.0/22,129.148.156.0,22,1024,ap-sydney-1
Oracle,129.148.16.0/20,129.148.16.0,20,4096,sa-saopaulo-1
Oracle,129.148.160.0/23,129.148.160.0,23,512,us-sanjose-1
Oracle,129.148.164.0/25,129.148.164.0,25,128,us-sanjose-1
Oracle,129.148.166.0/23,129.148.166.0,23,512,us-sanjose-1
Oracle,129.148.168.0/21,129.148.168.0,21,2048,ap-hyderabad-1
Oracle,129.148.176.0/22,129.148.176.0,22,1024,ap-singapore-1
Oracle,129.148.180.0/25,129.148.180.0,25,128,ap-singapore-1
Oracle,129.148.184.0/22,129.148.184.0,22,1024,ap-singapore-1
Oracle,129.148.200.0/21,129.148.200.0,21,2048,uk-cardiff-1
Oracle,129.148.208.0/22,129.148.208.0,22,1024,me-dubai-1
Oracle,129.148.212.0/23,129.148.212.0,23,512,me-dubai-1
Oracle,129.148.214.0/24,129.148.214.0,24,256,me-dubai-1
Oracle,129.148.215.0/25,129.148.215.0,25,128,me-dubai-1
Oracle,129.148.218.0/24,129.148.218.0,24,256,me-dubai-1
Oracle,129.148.219.192/26,129.148.219.192,26,64,me-dubai-1
Oracle,129.148.220.0/22,129.148.220.0,22,1024,me-dubai-1
Oracle,129.148.32.0/19,129.148.32.0,19,8192,sa-saopaulo-1
Oracle,129.148.8.0/22,129.148.8.0,22,1024,us-phoenix-1
Oracle,129.149.0.0/22,129.149.0.0,22,1024,sa-vinhedo-1
Oracle,129.149.100.0/25,129.149.100.0,25,128,eu-marseille-1
Oracle,129.149.112.0/22,129.149.112.0,22,1024,eu-milan-1
Oracle,129.149.118.0/25,129.149.118.0,25,128,eu-milan-1
Oracle,129.149.120.0/22,129.149.120.0,22,1024,il-jerusalem-1
